Time,kW Total,kVAr R,kVA R,Volts R,Amps R
25-04-18 / 00:00,0.0,0.06,0.06,246.04,0.24
25-04-18 / 01:00,0.0,0.06,0.06,246.59,0.24
25-04-18 / 02:00,0.0,0.06,0.06,245.09,0.24
25-04-18 / 03:00,0.0,0.05,0.05,245.82,0.24
25-04-18 / 04:00,0.0,0.06,0.06,246.49,0.24
25-04-18 / 05:00,0.0,0.05,0.05,245.5,0.24
25-04-18 / 06:00,0.0,0.06,0.06,243.78,0.24
25-04-18 / 07:00,0.0,0.06,0.06,241.99,0.24
25-04-18 / 08:00,0.0,0.06,0.06,241.84,0.24
25-04-18 / 09:00,0.0,0.06,0.06,240.58,0.24
25-04-18 / 10:00,0.0,0.06,0.06,241.25,0.24
25-04-18 / 11:00,0.0,0.06,0.06,243.63,0.24
25-04-18 / 12:00,0.0,0.06,0.06,244.92,0.24
25-04-18 / 13:00,0.0,0.06,0.06,246.04,0.24
25-04-18 / 14:00,0.0,0.06,0.06,243.86,0.24
25-04-18 / 15:00,0.0,0.06,0.06,242.05,0.24
25-04-18 / 16:00,0.0,0.06,0.06,242.81,0.24
25-04-18 / 17:00,0.0,0.06,0.06,243.28,0.24
25-04-18 / 18:00,0.0,0.06,0.06,245.01,0.24
25-04-18 / 19:00,0.0,0.04,0.04,244.25,0.25
25-04-18 / 20:00,0.0,0.06,0.06,244.06,0.25
25-04-18 / 21:00,0.0,0.05,0.05,244.24,0.24
25-04-18 / 22:00,0.0,0.05,0.05,243.18,0.25
25-04-18 / 23:00,0.01,0.06,0.06,243.6,0.24
26-04-18 / 00:00,0.0,0.05,0.05,246.92,0.25
26-04-18 / 01:00,0.01,0.07,0.07,247.53,0.24
26-04-18 / 02:00,0.01,0.07,0.07,245.59,0.24
26-04-18 / 03:00,0.0,0.06,0.06,246.58,0.24
26-04-18 / 04:00,0.0,0.06,0.06,247.11,0.24
26-04-18 / 05:00,0.0,0.06,0.06,246.79,0.24
26-04-18 / 06:00,0.0,0.06,0.06,243.72,0.24
26-04-18 / 07:00,0.0,0.05,0.05,243.92,0.25
26-04-18 / 08:00,0.0,0.06,0.06,241.16,0.23
26-04-18 / 09:00,0.0,0.06,0.06,242.8,0.24
26-04-18 / 10:00,0.0,0.06,0.06,242.97,0.24
26-04-18 / 11:00,0.0,0.05,0.05,244.11,0.25
26-04-18 / 12:00,0.0,0.06,0.06,242.22,0.24
26-04-18 / 13:00,0.0,0.06,0.06,244.15,0.24
26-04-18 / 14:00,0.0,0.06,0.06,245.61,0.24
26-04-18 / 15:00,0.0,0.05,0.05,242.15,0.25
26-04-18 / 16:00,0.0,0.06,0.06,243.61,0.24
26-04-18 / 17:00,0.0,0.06,0.06,244.92,0.24
26-04-18 / 18:00,0.0,0.06,0.06,246.53,0.24
26-04-18 / 19:00,0.0,0.06,0.06,243.77,0.24
26-04-18 / 20:00,0.0,0.06,0.06,244.78,0.24
26-04-18 / 21:00,0.0,0.05,0.05,243.74,0.24
26-04-18 / 22:00,0.0,0.06,0.06,244.45,0.24
26-04-18 / 23:00,0.0,0.06,0.06,244.57,0.24
27-04-18 / 00:00,0.0,0.06,0.06,244.46,0.24
27-04-18 / 01:00,0.0,0.05,0.05,245.91,0.24
27-04-18 / 02:00,0.0,0.05,0.05,247.68,0.24
27-04-18 / 03:00,0.0,0.06,0.06,245.51,0.24
27-04-18 / 04:00,0.0,0.06,0.06,246.11,0.24
27-04-18 / 05:00,0.0,0.06,0.06,244.17,0.24
27-04-18 / 06:00,0.0,0.06,0.06,242.52,0.24
27-04-18 / 07:00,0.0,0.06,0.06,244.72,0.24
27-04-18 / 08:00,0.0,0.06,0.06,244.01,0.24
27-04-18 / 09:00,0.0,0.05,0.05,243.25,0.24
27-04-18 / 10:00,0.0,0.06,0.06,242.67,0.24
27-04-18 / 11:00,0.0,0.06,0.06,244.07,0.24
27-04-18 / 12:00,0.0,0.06,0.06,245.35,0.24
27-04-18 / 13:00,0.0,0.06,0.06,244.52,0.24
27-04-18 / 14:00,0.0,0.06,0.06,244.83,0.24
27-04-18 / 15:00,0.0,0.05,0.06,242.31,0.24
27-04-18 / 16:00,0.38,0.14,0.4,246.69,1.65
27-04-18 / 17:00,0.14,0.14,0.19,242.23,0.79
27-04-18 / 18:00,0.0,0.06,0.06,242.6,0.24
27-04-18 / 19:00,0.0,0.06,0.06,243.77,0.24
27-04-18 / 20:00,0.0,0.06,0.06,244.54,0.24
27-04-18 / 21:00,0.01,0.07,0.07,242.46,0.24
27-04-18 / 22:00,0.0,0.05,0.05,243.24,0.24
27-04-18 / 23:00,0.01,0.07,0.07,244.86,0.24
28-04-18 / 00:00,0.0,0.06,0.06,244.54,0.24
28-04-18 / 01:00,0.0,0.05,0.05,245.17,0.24
28-04-18 / 02:00,0.0,0.06,0.06,245.55,0.24
28-04-18 / 03:00,0.0,0.06,0.06,247.44,0.24
28-04-18 / 04:00,0.0,0.06,0.06,244.82,0.24
28-04-18 / 05:00,0.0,0.05,0.05,243.66,0.24
28-04-18 / 06:00,0.0,0.06,0.06,243.37,0.24
28-04-18 / 07:00,0.09,0.13,0.16,245.63,0.66
28-04-18 / 08:00,0.32,0.16,0.35,247.35,1.44
28-04-18 / 09:00,0.18,0.14,0.23,245.46,0.94
28-04-18 / 10:00,0.72,0.15,0.74,247.64,2.99
28-04-18 / 11:00,0.69,0.14,0.7,247.44,2.84
28-04-18 / 12:00,0.62,0.14,0.64,246.07,2.59
28-04-18 / 13:00,0.77,0.16,0.79,247.93,3.18
28-04-18 / 14:00,0.71,0.13,0.72,248.83,2.91
28-04-18 / 15:00,0.39,0.15,0.42,245.15,1.71
28-04-18 / 16:00,0.19,0.14,0.24,245.07,0.99
28-04-18 / 17:00,0.14,0.13,0.19,245.15,0.83
28-04-18 / 18:00,0.02,0.09,0.1,242.67,0.41
28-04-18 / 19:00,0.0,0.06,0.06,244.29,0.24
28-04-18 / 20:00,0.0,0.06,0.06,243.7,0.24
28-04-18 / 21:00,0.0,0.06,0.06,244.6,0.24
28-04-18 / 22:00,0.0,0.05,0.05,244.72,0.24
28-04-18 / 23:00,0.0,0.06,0.06,245.31,0.24
29-04-18 / 00:00,0.0,0.06,0.06,244.64,0.24
29-04-18 / 01:00,0.0,0.05,0.05,244.47,0.24
29-04-18 / 02:00,0.0,0.06,0.06,245.76,0.24
29-04-18 / 03:00,0.0,0.06,0.06,245.39,0.24
29-04-18 / 04:00,0.0,0.06,0.06,245.84,0.24
29-04-18 / 05:00,0.0,0.07,0.07,244.65,0.24
29-04-18 / 06:00,0.0,0.06,0.06,245.07,0.24
29-04-18 / 07:00,0.07,0.13,0.15,247.18,0.62
29-04-18 / 08:00,0.2,0.15,0.25,245.93,1.02
29-04-18 / 09:00,0.27,0.15,0.31,245.47,1.28
29-04-18 / 10:00,0.45,0.15,0.48,245.23,1.95
29-04-18 / 11:00,0.36,0.16,0.39,244.76,1.61
29-04-18 / 12:00,0.55,0.14,0.56,245.67,2.3
29-04-18 / 13:00,0.42,0.15,0.45,247.84,1.81
29-04-18 / 14:00,0.4,0.15,0.43,248.39,1.75
29-04-18 / 15:00,0.42,0.15,0.44,244.14,1.83
29-04-18 / 16:00,0.35,0.15,0.38,244.45,1.58
